text,label,specialization
"Капитан, осмотри двигатель, там трещит!",Ремонт механики,Капитан
"Немедленно, капитан, срочно ремонтируй механику!",Ремонт механики,Капитан
"Быстрее, капитан, почини механизмы, срочно!",Ремонт механики,Капитан
"Капитан, срочно, нам нужна подвижность, чини механику!",Ремонт механики,Капитан
"Немедленно, капитан, всё гремит, почини механику!",Ремонт механики,Капитан
"Капитан, давай живее, всё гремит, почини механику!",Ремонт механики,Капитан
"Капитан, срочно, механика барахлит, действуй!",Ремонт механики,Капитан
"Быстрее, почини механизмы, срочно, капитан!",Ремонт механики,Капитан
"Механика заклинила, капитан, чини!",Ремонт механики,Капитан
"Срочно, капитан, двигатель подвел, исправь!",Ремонт механики,Капитан
"Давай живее, капитан, нам нужна подвижность, чини механику!",Ремонт механики,Капитан
"Капитан, замени шестерни, давай живее!",Ремонт механики,Капитан
"Механика барахлит, действуй, капитан!",Ремонт механики,Капитан
"Нам нужна подвижность, чини механику, капитан!",Ремонт механики,Капитан
"Немедленно, капитан, осмотри двигатель, там трещит!",Ремонт механики,Капитан
"Пока не поздно, замени шестерни, давай живее, капитан!",Ремонт механики,Капитан
"Капитан, немедленно, двигатель подвел, исправь!",Ремонт механики,Капитан
"Немедленно, механика в хламе — чини, пока не взорвалось, капитан!",Ремонт механики,Капитан
"Давай живее, механика заклинила, чини, капитан!",Ремонт механики,Капитан
"Капитан, давай живее, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Капитан
"Пока не поздно, капитан, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Капитан
"Почини механизмы, капитан, срочно!",Ремонт механики,Капитан
"Срочно, капитан, почини механизмы, срочно!",Ремонт механики,Капитан
"Немедленно, капитан, почини механизмы, срочно!",Ремонт механики,Капитан
"Давай живее, капитан, почини механизмы, срочно!",Ремонт механики,Капитан
"Капитан, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Капитан
"Давай живее, механика дышит последними силами — не дай ей умереть, капитан!",Ремонт механики,Капитан
"Давай живее, осмотри двигатель, там трещит, капитан!",Ремонт механики,Капитан
"Срочно, капитан, срочно ремонтируй механику!",Ремонт механики,Капитан
"Срочно, механика барахлит, действуй, капитан!",Ремонт механики,Капитан
"Капитан, пока не поздно, срочно ремонтируй механику!",Ремонт механики,Капитан
"Капитан, быстрее, нам нужна подвижность, чини механику!",Ремонт механики,Капитан
"Срочно, механика заклинила, чини, капитан!",Ремонт механики,Капитан
"Капитан, немедленно, всё гремит, почини механику!",Ремонт механики,Капитан
Механика дышит последними силами — не дай ей умереть!,Ремонт механики,Капитан
"Пока не поздно, механика барахлит, действуй, капитан!",Ремонт механики,Капитан
"Пока не поздно, нам нужна подвижность, чини механику, капитан!",Ремонт механики,Капитан
"Срочно, механика барахлит, действуй, охранник!",Ремонт механики,Охранник
"Охранник, немедленно, почини механизмы, срочно!",Ремонт механики,Охранник
"Охранник, механика барахлит, действуй!",Ремонт механики,Охранник
"Нам нужна подвижность, охранник, чини механику!",Ремонт механики,Охранник
"Механика в хламе — чини, охранник, пока не взорвалось!",Ремонт механики,Охранник
"Охранник, быстрее, механика заклинила, чини!",Ремонт механики,Охранник
"Охранник, немедленно, двигатель подвел, исправь!",Ремонт механики,Охранник
"Механика барахлит, охранник, действуй!",Ремонт механики,Охранник
"Охранник, быстрее, срочно ремонтируй механику!",Ремонт механики,Охранник
"Охранник, срочно, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Охранник
"Двигатель подвел, исправь, охранник!",Ремонт механики,Охранник
"Охранник, почини механизмы, срочно!",Ремонт механики,Охранник
"Охранник, пока не поздно, механика заклинила, чини!",Ремонт механики,Охранник
"Пока не поздно, механика барахлит, действуй, охранник!",Ремонт механики,Охранник
"Давай живее, механика барахлит, действуй, охранник!",Ремонт механики,Охранник
"Немедленно, срочно ремонтируй механику, охранник!",Ремонт механики,Охранник
"Охранник, срочно, почини механизмы, срочно!",Ремонт механики,Охранник
"Быстрее, нам нужна подвижность, чини механику, охранник!",Ремонт механики,Охранник
"Охранник, осмотри двигатель, там трещит!",Ремонт механики,Охранник
"Срочно, охранник, двигатель подвел, исправь!",Ремонт механики,Охранник
"Быстрее, охранник, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Охранник
"Пока не поздно, двигатель подвел, исправь, охранник!",Ремонт механики,Охранник
"Пока не поздно, охранник, механика заклинила, чини!",Ремонт механики,Охранник
"Давай живее, охранник, механика заклинила, чини!",Ремонт механики,Охранник
"Быстрее, охранник, механика барахлит, действуй!",Ремонт механики,Охранник
"Срочно, механика дышит последними силами — не дай ей умереть, охранник!",Ремонт механики,Охранник
"Охранник, всё гремит, почини механику!",Ремонт механики,Охранник
"Осмотри двигатель, охранник, там трещит!",Ремонт механики,Охранник
"Пока не поздно, охранник, замени шестерни, давай живее!",Ремонт механики,Охранник
"Охранник, пока не поздно, нам нужна подвижность, чини механику!",Ремонт механики,Охранник
"Охранник, быстрее, замени шестерни, давай живее!",Ремонт механики,Охранник
"Пока не поздно, механика дышит последними силами — не дай ей умереть, охранник!",Ремонт механики,Охранник
"Немедленно, механика заклинила, чини, охранник!",Ремонт механики,Охранник
"Пока не поздно, осмотри двигатель, там трещит, охранник!",Ремонт механики,Охранник
"Охранник, двигатель подвел, исправь!",Ремонт механики,Охранник
"Срочно, охранник, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Охранник
"Быстрее, срочно ремонтируй механику, охранник!",Ремонт механики,Охранник
"Механика дышит последними силами — не дай ей умереть, охранник!",Ремонт механики,Охранник
"Давай живее, двигатель подвел, исправь, охранник!",Ремонт механики,Охранник
"Срочно ремонтируй механику, охранник!",Ремонт механики,Охранник
"Охранник, немедленно, механика заклинила, чини!",Ремонт механики,Охранник
"Давай живее, механика заклинила, чини, охранник!",Ремонт механики,Охранник
"Почини механизмы, срочно, охранник!",Ремонт механики,Охранник
Срочно ремонтируй механику!,Ремонт механики,Охранник
"Охранник, механика заклинила, чини!",Ремонт механики,Охранник
"Быстрее, осмотри двигатель, там трещит, охранник!",Ремонт механики,Охранник
"Срочно, двигатель подвел, исправь, охранник!",Ремонт механики,Охранник
"Срочно, охранник, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Охранник
"Пока не поздно, охранник, осмотри двигатель, там трещит!",Ремонт механики,Охранник
"Пока не поздно, срочно ремонтируй механику, охранник!",Ремонт механики,Охранник
"Охранник, давай живее, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Охранник
"Быстрее, всё гремит, почини механику, охранник!",Ремонт механики,Охранник
"Охранник, срочно, осмотри двигатель, там трещит!",Ремонт механики,Охранник
"Немедленно, двигатель подвел, исправь, охранник!",Ремонт механики,Охранник
"Давай живее, охранник, почини механизмы, срочно!",Ремонт механики,Охранник
"Быстрее, механика в хламе — чини, пока не взорвалось, охранник!",Ремонт механики,Охранник
"Срочно, охранник, почини механизмы, срочно!",Ремонт механики,Охранник
"Пока не поздно, охранник, почини механизмы, срочно!",Ремонт механики,Охранник
"Охранник, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Охранник
"Охранник, немедленно, всё гремит, почини механику!",Ремонт механики,Охранник
"Немедленно, механика барахлит, действуй, охранник!",Ремонт механики,Охранник
"Охранник, срочно, двигатель подвел, исправь!",Ремонт механики,Охранник
"Пока не поздно, охранник, всё гремит, почини механику!",Ремонт механики,Охранник
"Охранник, срочно, срочно ремонтируй механику!",Ремонт механики,Охранник
"Давай живее, замени шестерни, давай живее, охранник!",Ремонт механики,Охранник
"Осмотри двигатель, там трещит, охранник!",Ремонт механики,Охранник
"Охранник, давай живее, замени шестерни, давай живее!",Ремонт механики,Охранник
"Охранник, срочно, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Охранник
"Давай живее, осмотри двигатель, там трещит, охранник!",Ремонт механики,Охранник
"Охранник, быстрее, почини механизмы, срочно!",Ремонт механики,Охранник
"Немедленно, охранник, всё гремит, почини механику!",Ремонт механики,Охранник
"Охранник, нам нужна подвижность, чини механику!",Ремонт механики,Охранник
"Охранник, давай живее, механика барахлит, действуй!",Ремонт механики,Охранник
"Замени шестерни, давай живее, охранник!",Ремонт механики,Охранник
"Пока не поздно, почини механизмы, срочно, охранник!",Ремонт механики,Охранник
"Немедленно, нам нужна подвижность, чини механику, охранник!",Ремонт механики,Охранник
"Охранник, немедленно, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Охранник
"Охранник, срочно ремонтируй механику!",Ремонт механики,Охранник
"Охранник, быстрее, всё гремит, почини механику!",Ремонт механики,Охранник
"Быстрее, охранник, срочно ремонтируй механику!",Ремонт механики,Охранник
"Нам нужна подвижность, чини механику, охранник!",Ремонт механики,Охранник
"Срочно, нам нужна подвижность, чини механику, охранник!",Ремонт механики,Охранник
"Охранник, немедленно, замени шестерни, давай живее!",Ремонт механики,Охранник
"Механика барахлит, действуй, охранник!",Ремонт механики,Охранник
"Немедленно, осмотри двигатель, там трещит, охранник!",Ремонт механики,Охранник
"Срочно, охранник, осмотри двигатель, там трещит!",Ремонт механики,Охранник
"Охранник, давай живее, двигатель подвел, исправь!",Ремонт механики,Охранник
"Срочно, охранник, замени шестерни, давай живее!",Ремонт механики,Охранник
"Быстрее, охранник, двигатель подвел, исправь!",Ремонт механики,Охранник
"Охранник, быстрее, осмотри двигатель, там трещит!",Ремонт механики,Охранник
"Пока не поздно, охранник, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Охранник
"Охранник, пока не поздно, осмотри двигатель, там трещит!",Ремонт механики,Охранник
"Охранник, быстрее, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Охранник
"Пока не поздно, механика заклинила, чини, охранник!",Ремонт механики,Охранник
"Пока не поздно, нам нужна подвижность, чини механику, охранник!",Ремонт механики,Охранник
"Немедленно, замени шестерни, давай живее, охранник!",Ремонт механики,Охранник
"Немедленно, охранник, нам нужна подвижность, чини механику!",Ремонт механики,Охранник
"Охранник, срочно, замени шестерни, давай живее!",Ремонт механики,Охранник
"Быстрее, замени шестерни, давай живее, охранник!",Ремонт механики,Охранник
"Давай живее, охранник, осмотри двигатель, там трещит!",Ремонт механики,Охранник
"Быстрее, механика заклинила, чини, медик!",Ремонт механики,Медик
"Медик, давай живее, срочно ремонтируй механику!",Ремонт механики,Медик
"Замени шестерни, медик, давай живее!",Ремонт механики,Медик
"Давай живее, медик, двигатель подвел, исправь!",Ремонт механики,Медик
"Двигатель подвел, исправь, медик!",Ремонт механики,Медик
"Быстрее, срочно ремонтируй механику, медик!",Ремонт механики,Медик
"Быстрее, медик, нам нужна подвижность, чини механику!",Ремонт механики,Медик
"Всё гремит, медик, почини механику!",Ремонт механики,Медик
"Пока не поздно, замени шестерни, давай живее, медик!",Ремонт механики,Медик
"Срочно, двигатель подвел, исправь, медик!",Ремонт механики,Медик
"Медик, быстрее, срочно ремонтируй механику!",Ремонт механики,Медик
"Немедленно, механика заклинила, чини, медик!",Ремонт механики,Медик
"Механика барахлит, медик, действуй!",Ремонт механики,Медик
"Механика заклинила, медик, чини!",Ремонт механики,Медик
"Давай живее, механика барахлит, действуй, медик!",Ремонт механики,Медик
"Немедленно, осмотри двигатель, там трещит, медик!",Ремонт механики,Медик
"Всё гремит, почини механику, медик!",Ремонт механики,Медик
"Механика заклинила, чини, медик!",Ремонт механики,Медик
"Почини механизмы, срочно, медик!",Ремонт механики,Медик
"Немедленно, почини механизмы, срочно, медик!",Ремонт механики,Медик
"Срочно, медик, механика заклинила, чини!",Ремонт механики,Медик
"Давай живее, медик, осмотри двигатель, там трещит!",Ремонт механики,Медик
"Медик, почини механизмы, срочно!",Ремонт механики,Медик
"Немедленно, медик, нам нужна подвижность, чини механику!",Ремонт механики,Медик
"Быстрее, почини механизмы, срочно, медик!",Ремонт механики,Медик
"Медик, срочно, механика заклинила, чини!",Ремонт механики,Медик
"Замени шестерни, давай живее, медик!",Ремонт механики,Медик
"Медик, осмотри двигатель, там трещит!",Ремонт механики,Медик
"Медик, пока не поздно, срочно ремонтируй механику!",Ремонт механики,Медик
"Немедленно, нам нужна подвижность, чини механику, медик!",Ремонт механики,Медик
"Пока не поздно, срочно ремонтируй механику, медик!",Ремонт механики,Медик
"Давай живее, всё гремит, почини механику, медик!",Ремонт механики,Медик
"Немедленно, медик, почини механизмы, срочно!",Ремонт механики,Медик
"Срочно, медик, механика барахлит, действуй!",Ремонт механики,Медик
"Пока не поздно, механика дышит последними силами — не дай ей умереть, медик!",Ремонт механики,Медик
"Медик, быстрее, механика заклинила, чини!",Ремонт механики,Медик
"Немедленно, срочно ремонтируй механику, медик!",Ремонт механики,Медик
"Давай живее, медик, нам нужна подвижность, чини механику!",Ремонт механики,Медик
"Немедленно, медик, замени шестерни, давай живее!",Ремонт механики,Медик
"Медик, всё гремит, почини механику!",Ремонт механики,Медик
"Медик, немедленно, осмотри двигатель, там трещит!",Ремонт механики,Медик
"Механика барахлит, действуй, медик!",Ремонт механики,Медик
"Медик, давай живее, механика барахлит, действуй!",Ремонт механики,Медик
"Срочно, механика заклинила, чини, медик!",Ремонт механики,Медик
"Быстрее, нам нужна подвижность, чини механику, медик!",Ремонт механики,Медик
"Нам нужна подвижность, чини механику, медик!",Ремонт механики,Медик
"Давай живее, механика заклинила, чини, медик!",Ремонт механики,Медик
"Медик, давай живее, почини механизмы, срочно!",Ремонт механики,Медик
"Медик, механика барахлит, действуй!",Ремонт механики,Медик
"Срочно, медик, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Медик
"Давай живее, осмотри двигатель, там трещит, медик!",Ремонт механики,Медик
"Медик, срочно, механика барахлит, действуй!",Ремонт механики,Медик
"Медик, срочно, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Медик
"Срочно, замени шестерни, давай живее, медик!",Ремонт механики,Медик
"Немедленно, двигатель подвел, исправь, медик!",Ремонт механики,Медик
"Медик, давай живее, замени шестерни, давай живее!",Ремонт механики,Медик
"Осмотри двигатель, медик, там трещит!",Ремонт механики,Медик
"Медик, быстрее, почини механизмы, срочно!",Ремонт механики,Медик
"Немедленно, медик, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Медик
"Срочно, медик, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Медик
"Медик, быстрее, двигатель подвел, исправь!",Ремонт механики,Медик
"Медик, немедленно, механика барахлит, действуй!",Ремонт механики,Медик
"Почини механизмы, медик, срочно!",Ремонт механики,Медик
"Медик, срочно ремонтируй механику!",Ремонт механики,Медик
"Немедленно, замени шестерни, давай живее, медик!",Ремонт механики,Медик
"Быстрее, механика дышит последними силами — не дай ей умереть, медик!",Ремонт механики,Медик
"Немедленно, медик, всё гремит, почини механику!",Ремонт механики,Медик
"Нам нужна подвижность, медик, чини механику!",Ремонт механики,Медик
"Медик, пока не поздно, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Медик
"Срочно ремонтируй механику, медик!",Ремонт механики,Медик
"Давай живее, медик, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Медик
"Пока не поздно, медик, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Медик
"Осмотри двигатель, там трещит, медик!",Ремонт механики,Медик
"Медик, давай живее, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Медик
"Давай живее, медик, замени шестерни, давай живее!",Ремонт механики,Медик
"Давай живее, нам нужна подвижность, чини механику, медик!",Ремонт механики,Медик
"Медик, двигатель подвел, исправь!",Ремонт механики,Медик
"Медик, немедленно, всё гремит, почини механику!",Ремонт механики,Медик
"Медик, пока не поздно, нам нужна подвижность, чини механику!",Ремонт механики,Медик
"Медик, давай живее, механика заклинила, чини!",Ремонт механики,Медик
"Медик, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Медик
"Давай живее, срочно ремонтируй механику, медик!",Ремонт механики,Медик
"Быстрее, медик, всё гремит, почини механику!",Ремонт механики,Медик
"Медик, пока не поздно, механика заклинила, чини!",Ремонт механики,Медик
"Двигатель подвел, медик, исправь!",Ремонт механики,Медик
"Давай живее, медик, срочно ремонтируй механику!",Ремонт механики,Медик
"Быстрее, медик, механика барахлит, действуй!",Ремонт механики,Медик
"Медик, механика заклинила, чини!",Ремонт механики,Медик
"Быстрее, медик, замени шестерни, давай живее!",Ремонт механики,Медик
"Немедленно, механика барахлит, действуй, медик!",Ремонт механики,Медик
"Медик, срочно, осмотри двигатель, там трещит!",Ремонт механики,Медик
"Медик, быстрее, механика барахлит, действуй!",Ремонт механики,Медик
"Пока не поздно, всё гремит, почини механику, медик!",Ремонт механики,Медик
"Быстрее, механика в хламе — чини, пока не взорвалось, медик!",Ремонт механики,Медик
"Давай живее, медик, механика барахлит, действуй!",Ремонт механики,Медик
"Немедленно, медик, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Медик
"Срочно, осмотри двигатель, там трещит, медик!",Ремонт механики,Медик
"Быстрее, медик, механика заклинила, чини!",Ремонт механики,Медик
"Медик, срочно, нам нужна подвижность, чини механику!",Ремонт механики,Медик
"Срочно, почини механизмы, срочно, медик!",Ремонт механики,Медик
"Срочно, осмотри двигатель, там трещит, инженер!",Ремонт механики,Инженер
"Срочно, срочно ремонтируй механику, инженер!",Ремонт механики,Инженер
"Механика дышит последними силами — не дай ей умереть, инженер!",Ремонт механики,Инженер
"Двигатель подвел, исправь, инженер!",Ремонт механики,Инженер
"Инженер, немедленно, срочно ремонтируй механику!",Ремонт механики,Инженер
"Немедленно, инженер, двигатель подвел, исправь!",Ремонт механики,Инженер
"Всё гремит, почини механику, инженер!",Ремонт механики,Инженер
"Давай живее, инженер, механика заклинила, чини!",Ремонт механики,Инженер
"Быстрее, механика заклинила, чини, инженер!",Ремонт механики,Инженер
"Инженер, нам нужна подвижность, чини механику!",Ремонт механики,Инженер
"Инженер, срочно, нам нужна подвижность, чини механику!",Ремонт механики,Инженер
"Нам нужна подвижность, чини механику, инженер!",Ремонт механики,Инженер
"Инженер, пока не поздно, срочно ремонтируй механику!",Ремонт механики,Инженер
"Осмотри двигатель, там трещит, инженер!",Ремонт механики,Инженер
"Пока не поздно, механика барахлит, действуй, инженер!",Ремонт механики,Инженер
"Давай живее, инженер, осмотри двигатель, там трещит!",Ремонт механики,Инженер
"Срочно, инженер, механика дышит последними силами — не дай ей умереть!",Ремонт механики,Инженер
"Давай живее, инженер, срочно ремонтируй механику!",Ремонт механики,Инженер
"Инженер, срочно, срочно ремонтируй механику!",Ремонт механики,Инженер
"Почини механизмы, инженер, срочно!",Ремонт механики,Инженер
"Быстрее, инженер, почини механизмы, срочно!",Ремонт механики,Инженер
"Инженер, двигатель подвел, исправь!",Ремонт механики,Инженер
"Двигатель подвел, инженер, исправь!",Ремонт механики,Инженер
"Быстрее, инженер, двигатель подвел, исправь!",Ремонт механики,Инженер
"Давай живее, инженер, нам нужна подвижность, чини механику!",Ремонт механики,Инженер
"Инженер, быстрее, механика в хламе — чини, пока не взорвалось!",Ремонт механики,Инженер
"Быстрее, инженер, нам нужна подвижность, чини механику!",Ремонт механики,Инженер
"Немедленно, срочно ремонтируй механику, инженер!",Ремонт механики,Инженер
